"EF.ID","X1996.Source.Sink.Categories..CODE1.....","X2006.Source.Sink.Categories..CODE1.....","Gases..ID1.ID2.....","Fuel.1996..ID.","Fuel.2006..ID.","C.pool","Description","Technologies.Practices","Abatement.Control.technologies","Parameters.Conditions","Region.Regional.conditions","Other.Properties","Value","Unit..ID.","Value.in.Common.Units","Common.Unit","Equation","IPCC.Worksheet.Number","Source.of.Data","Full.Technical.Reference","URL","Reference.Language","Abstract.in.English","Lower.Confidence.Limit","Upper.Confidence.Limit","Data.Quality","Data.Quality.Reference","Other.Info.on.Data.Quality","Distribution.Shape..ID.","Type.of.Parameter..ID.","Measurement.Technique.Standard","Periodicity.of.Measurement","External.Quality.Control.Performed","Date.of.Measurement","Date.Calculated","Comments.from.Data.Provider","Data.Provider","Data.Provider.Country..CODE.","Data.Provider.Contact..email.address.","Date.Submitted.to.EFDB.by.Data.Provider..yyyy.mm.dd.","Date.Posted.to.EFDB.by.TSU","measurement.ID","citation.ID"
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","land subcategory/subdivision: unmanaged forest land","","FAO ecological zone: Tropical rainforest; vegetation type: Trees, broadleaf evergreen; species/forest composition: mixed dipterocarp/ coastal hill dipterocarp; stand age: mature; biomass attributes: dbh trees >= 1 cm; soil type: Ultisols","country: Singapore; geographic coordinates: 1.35, 103.78; elevation: 99 m; continent: Asia; Koeppen climate zone: Af; mean annual temperature: 27 degrees C; annual precipitation: 2353 mm yr-1","ForC site: Bukit Timah Primary CTFS-ForestGEO plot (ID#: 2083); ForC plot: 2-ha forest dynamics plot (ID#: 2734); ForC measurement ID: 17466; Date of Measurement: 1998; plot size: 2 ha; disturbance type: No disturbance; variable description: Total live aboveground live biomass.; ",395.8,"tonnes dry matter/ha (954)","","","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Johnson, D. J., Needham, J., Xu, C., Massoud, E. C., Davies, S. J., Anderson-Teixeira, K. J., ... McMahon, S. M. (2018). Climate sensitive size-dependent survival in tropical trees. Nature Ecology & Evolution, 2(9), 1436-1442. doi:10.1038/s41559-018-0626-z","https://www.nature.com/articles/s41559-018-0626-z","English","",NA,NA,"","","","","Other [e.g. Compiled] (3)","","","","","","Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-04-01,"",17466,"Johnson_2018_csss"
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","land subcategory/subdivision: unmanaged forest land","","FAO ecological zone: Tropical rainforest; vegetation type: Trees, broadleaf evergreen; species/forest composition: mixed dipterocarp; stand age: 48; biomass attributes: dbh trees >= 1 cm; ","country: Singapore; geographic coordinates: 1.35, 103.78; elevation: 67.5 m; continent: Asia; Koeppen climate zone: Af; mean annual temperature: 27 degrees C; annual precipitation: 2353 mm yr-1","ForC site: Bukit Timah Secondary CTFS-ForestGEO plot (ID#: 2084); ForC plot: 2-ha forest dynamics plot (ID#: 2735); ForC measurement ID: 17468; Date of Measurement: 2005.5; plot size: 2 ha; disturbance type: Cultivation; disturbance year: 1845; regrowth type: Initiation of post-disturbance cohort (natural); regrowth year: 1955; variable description: Total live aboveground live biomass.; ",181.2,"tonnes dry matter/ha (954)","","","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Johnson, D. J., Needham, J., Xu, C., Massoud, E. C., Davies, S. J., Anderson-Teixeira, K. J., ... McMahon, S. M. (2018). Climate sensitive size-dependent survival in tropical trees. Nature Ecology & Evolution, 2(9), 1436-1442. doi:10.1038/s41559-018-0626-z","https://www.nature.com/articles/s41559-018-0626-z","English","",NA,NA,"","","","","Other [e.g. Compiled] (3)","","","","","","95%CI is NA because only 1 plot was measured; Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-04-01,"",17468,"Johnson_2018_csss"
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","land subcategory/subdivision: unmanaged forest land","","FAO ecological zone: Subtropical humid forest; vegetation type: Trees, broadleaf evergreen; species/forest composition: Dominated by Lauraceae and Fagaceae.; stand age: mature; biomass attributes: dbh trees >= 1 cm; soil type: Ultisols, Inceptisols","country: Taiwan; geographic coordinates: 24.7614, 121.555; elevation: 666.5 m; continent: Asia; Koeppen climate zone: Cfa; mean annual temperature: 18.2 degrees C; annual precipitation: 4271 mm yr-1","ForC site: Fushan CTFS-ForestGEO plot (ID#: 2087); ForC plot: 25-ha forest dynamics plot (ID#: 2739); ForC measurement ID: 17470; Date of Measurement: 2009; plot size: 25 ha; disturbance type: No disturbance; variable description: Total live aboveground live biomass.; ",215.5,"tonnes dry matter/ha (954)","","","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Johnson, D. J., Needham, J., Xu, C., Massoud, E. C., Davies, S. J., Anderson-Teixeira, K. J., ... McMahon, S. M. (2018). Climate sensitive size-dependent survival in tropical trees. Nature Ecology & Evolution, 2(9), 1436-1442. doi:10.1038/s41559-018-0626-z","https://www.nature.com/articles/s41559-018-0626-z","English","",NA,NA,"","","","","Other [e.g. Compiled] (3)","","","","","","Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-04-01,"",17470,"Johnson_2018_csss"
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","land subcategory/subdivision: unmanaged forest land","","FAO ecological zone: Tropical moist forest; vegetation type: Trees, broadleaf; species/forest composition: Seasonal dry evergreen, mixed deciduous, mixed dipterocarpus; stand age: mature; biomass attributes: dbh trees >= 1 cm; ","country: Thailand; state/province/region: Uthai Thani; geographic coordinates: 15.6324, 99.217; elevation: 593.5 m; continent: Asia; Koeppen climate zone: Aw; mean annual temperature: 23.5 degrees C; annual precipitation: 1476 mm yr-1","ForC site: Huai Kha Khaeng CTFS-ForestGEO plot (ID#: 2090); ForC plot: 50-ha forest dynamics plot (ID#: 2744); ForC measurement ID: 17472; Date of Measurement: 2000.5; plot size: 50 ha; disturbance type: No disturbance; variable description: Total live aboveground live biomass.; ",243.2,"tonnes dry matter/ha (954)","","","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Johnson, D. J., Needham, J., Xu, C., Massoud, E. C., Davies, S. J., Anderson-Teixeira, K. J., ... McMahon, S. M. (2018). Climate sensitive size-dependent survival in tropical trees. Nature Ecology & Evolution, 2(9), 1436-1442. doi:10.1038/s41559-018-0626-z","https://www.nature.com/articles/s41559-018-0626-z","English","",NA,NA,"","","","","Other [e.g. Compiled] (3)","","","","","","Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-04-01,"",17472,"Johnson_2018_csss"
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","land subcategory/subdivision: unmanaged forest land","","FAO ecological zone: Tropical rainforest; vegetation type: Trees, broadleaf evergreen; stand age: mature; biomass attributes: dbh trees >= 1 cm; soil type: Ultisols, Oxisols","country: Cameroon; state/province/region: Southern; geographic coordinates: 5.07389, 8.85472; elevation: 195 m; continent: Africa; Koeppen climate zone: Am; mean annual temperature: 26.6 degrees C; annual precipitation: 5272 mm yr-1","ForC site: Korup CTFS-ForestGEO plot (ID#: 2096); ForC plot: 50-ha forest dynamics plot (ID#: 2750); ForC measurement ID: 17474; Date of Measurement: 2004; plot size: 50 ha; disturbance type: No disturbance; variable description: Total live aboveground live biomass.; ",504.8,"tonnes dry matter/ha (954)","","","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Johnson, D. J., Needham, J., Xu, C., Massoud, E. C., Davies, S. J., Anderson-Teixeira, K. J., ... McMahon, S. M. (2018). Climate sensitive size-dependent survival in tropical trees. Nature Ecology & Evolution, 2(9), 1436-1442. doi:10.1038/s41559-018-0626-z","https://www.nature.com/articles/s41559-018-0626-z","English","",NA,NA,"","","","","Other [e.g. Compiled] (3)","","","","","","95%CI is NA because only 1 plot was measured; Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-04-01,"",17474,"Johnson_2018_csss"
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","land subcategory/subdivision: unmanaged forest land","","FAO ecological zone: Tropical rainforest; vegetation type: Trees, broadleaf evergreen; species/forest composition: mixed dipterocarp; stand age: mature; biomass attributes: dbh trees >= 1 cm; soil type: Ultisols","country: Malaysia; state/province/region: Sarawak; geographic coordinates: 4.1865, 114.017; elevation: 174 m; continent: Asia; Koeppen climate zone: Af; mean annual temperature: 26.6 degrees C; annual precipitation: 2664 mm yr-1","ForC site: Lambir CTFS-ForestGEO plot (ID#: 2077); ForC plot: 52-ha forest dynamics plot (ID#: 5280); ForC measurement ID: 17476; Date of Measurement: 2000; plot size: 52 ha; disturbance type: No severe disturbance; variable description: Total live aboveground live biomass.; ",294.8,"tonnes dry matter/ha (954)","","","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Johnson, D. J., Needham, J., Xu, C., Massoud, E. C., Davies, S. J., Anderson-Teixeira, K. J., ... McMahon, S. M. (2018). Climate sensitive size-dependent survival in tropical trees. Nature Ecology & Evolution, 2(9), 1436-1442. doi:10.1038/s41559-018-0626-z","https://www.nature.com/articles/s41559-018-0626-z","English","",NA,NA,"","","","","Other [e.g. Compiled] (3)","","","","","","Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-04-01,"",17476,"Johnson_2018_csss"
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","land subcategory/subdivision: unmanaged forest land","","FAO ecological zone: Tropical mountain system; vegetation type: Trees, broadleaf evergreen; species/forest composition: The canopy is dominated by koa (Acacia koa) and a (Metrosideros polymorpha, with a well-developed subcanopy of tree ferns (Cibotium species). Sub-canopy tree species include the following commonly observed species: olapa (Cheirodendron trigynum ssp. trigynum), kawa<U+FFFD><U+FFFD>u (Ilex anomala), kolea (Myrsine lessertiana), and pilo (Coprosma rhynchocarpa).; stand age: mature; biomass attributes: dbh trees >= 1 cm; soil texture: silty clay loam; soil type: Andisols","country: United States of America; state/province/region: Hawaii; geographic coordinates: 19.9301, -155.287; elevation: 1120 m; continent: Oceania; Koeppen climate zone: Cfb; mean annual temperature: 16 degrees C; annual precipitation: 3440 mm yr-1","ForC site: Laupahoehoe CTFS-ForestGEO plot (ID#: 2076); ForC plot: 4-ha forest dynamics plot (ID#: 2752); ForC measurement ID: 17478; Date of Measurement: 2010.5; plot size: 4 ha; disturbance type: No disturbance; variable description: Total live aboveground live biomass.; ",270.4,"tonnes dry matter/ha (954)","","","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Johnson, D. J., Needham, J., Xu, C., Massoud, E. C., Davies, S. J., Anderson-Teixeira, K. J., ... McMahon, S. M. (2018). Climate sensitive size-dependent survival in tropical trees. Nature Ecology & Evolution, 2(9), 1436-1442. doi:10.1038/s41559-018-0626-z","https://www.nature.com/articles/s41559-018-0626-z","English","",NA,NA,"","","","","Other [e.g. Compiled] (3)","","","","","","95%CI is NA because only 1 plot was measured; Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-04-01,"",17478,"Johnson_2018_csss"
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","land subcategory/subdivision: unmanaged forest land","","FAO ecological zone: Tropical rainforest; vegetation type: Trees, broadleaf evergreen; species/forest composition: tabonuco forest; named after the dominant tree (Dacryodes excelsa Vahl; Burseraceae); stand age: 67; biomass attributes: dbh trees >= 1 cm; soil type: Oxisols, Ultisols","country: United States of America; state/province/region: Puerto Rico; geographic coordinates: 18.3262, -65.816; elevation: 380.5 m; continent: North America; Koeppen climate zone: Am; mean annual temperature: 22.8 degrees C; annual precipitation: 3548 mm yr-1","ForC site: Luquillo CTFS-ForestGEO plot (ID#: 2080); ForC plot: 16-ha forest dynamics plot (ID#: 2755); ForC measurement ID: 17480; Date of Measurement: 2002; plot size: 16 ha; disturbance type: Cultivation; regrowth type: Initiation of post-disturbance cohort (natural); regrowth year: 1935; variable description: Total live aboveground live biomass.; ",323.2,"tonnes dry matter/ha (954)","","","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Johnson, D. J., Needham, J., Xu, C., Massoud, E. C., Davies, S. J., Anderson-Teixeira, K. J., ... McMahon, S. M. (2018). Climate sensitive size-dependent survival in tropical trees. Nature Ecology & Evolution, 2(9), 1436-1442. doi:10.1038/s41559-018-0626-z","https://www.nature.com/articles/s41559-018-0626-z","English","",NA,NA,"","","","","Other [e.g. Compiled] (3)","","","","","","Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-04-01,"",17480,"Johnson_2018_csss"
"","5-FL-1","3.B.1.a","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","land subcategory/subdivision: unmanaged forest land","","FAO ecological zone: Tropical mountain system; vegetation type: Trees, broadleaf evergreen; species/forest composition: Dominated by lama (Diospyros sandwicensis), alahe<U+FFFD><U+FFFD>e (Psydrax odorata), and sandalwood (Santalum paniculatum), with few invasive plants in the understory.; stand age: mature; biomass attributes: dbh trees >= 1 cm; soil type: Histosols","country: United States of America; state/province/region: Hawaii; geographic coordinates: 19.7394, -155.994; elevation: 240 m; continent: Oceania; Koeppen climate zone: Cfb; mean annual temperature: 20 degrees C; annual precipitation: 835 mm yr-1","ForC site: Palamanui CTFS-ForestGEO plot (ID#: 2104); ForC plot: 4-ha forest dynamics plot (ID#: 2761); ForC measurement ID: 17482; Date of Measurement: 2011.5; plot size: 4 ha; disturbance type: No disturbance; variable description: Total live aboveground live biomass.; ",29.7,"tonnes dry matter/ha (954)","","","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Johnson, D. J., Needham, J., Xu, C., Massoud, E. C., Davies, S. J., Anderson-Teixeira, K. J., ... McMahon, S. M. (2018). Climate sensitive size-dependent survival in tropical trees. Nature Ecology & Evolution, 2(9), 1436-1442. doi:10.1038/s41559-018-0626-z","https://www.nature.com/articles/s41559-018-0626-z","English","",NA,NA,"","","","","Other [e.g. Compiled] (3)","","","","","","95%CI is NA because only 1 plot was measured; Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-04-01,"",17482,"Johnson_2018_csss"
"","5-FL","3.B.1","CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007)","","","Above-ground biomass [AGB] (AGB)","Aboveground Biomass (biomass_ag)","land subcategory/subdivision: unmanaged forest land","","FAO ecological zone: Tropical rainforest; vegetation type: Trees, broadleaf evergreen; species/forest composition: mixed dipterocarp; stand age: mature; biomass attributes: dbh trees >= 1 cm; soil type: Ultisols,Inceptisols","country: Philippines; state/province/region: Isabela; geographic coordinates: 17.0402, 122.388; elevation: 97 m; continent: Asia; Koeppen climate zone: Af; mean annual temperature: 26.1 degrees C; annual precipitation: 3380 mm yr-1","ForC site: Palanan CTFS-ForestGEO plot (ID#: 2105); ForC plot: 16-ha forest dynamics plot (ID#: 2762); ForC measurement ID: 17484; Date of Measurement: 2004; plot size: 16 ha; variable description: Total live aboveground live biomass.; ",366.2,"tonnes dry matter/ha (954)","","","Equations 2.14, 2.16, 2.27","","Peer-reviewed journal","Johnson, D. J., Needham, J., Xu, C., Massoud, E. C., Davies, S. J., Anderson-Teixeira, K. J., ... McMahon, S. M. (2018). Climate sensitive size-dependent survival in tropical trees. Nature Ecology & Evolution, 2(9), 1436-1442. doi:10.1038/s41559-018-0626-z","https://www.nature.com/articles/s41559-018-0626-z","English","",NA,NA,"","","","","Other [e.g. Compiled] (3)","","","","","","Data imported from the Global Forest Carbon database (ForC; https://forc-db.github.io/) : Anderson-Teixeira, K. J., M. M. H. Wang, J. C. McGarvey, V. Herrmann, A. J. Tepley, B. P. Bond-Lamberty, and D. S. LeBauer (2018) ForC: a global database of forest carbon stocks and fluxes. Ecology. DOI: 10.1002/ecy.2229.","ForC Database Team (lead: Kristina Anderson-Teixeira, Smithsonian Institution)","United States of America (USA)","TeixeiraK@si.edu",2021-04-01,"",17484,"Johnson_2018_csss"
