C.pool,n_data_submitted,EFDB_entry_form,dates_sent_yyyymmdd,Full.Technical.Reference,n_in_EFDB,notes,excluded
Classified otherwise (OTH),1,n_1_Gonzalez-Akre_2016_potm,20210401,"Gonzalez-Akre, E., Meakem, V., Eng, C., Tepley, A. J., Bourg, N. A., McShea, W., ... Anderson-Teixeira, K. (2016). Patterns of tree mortality in a temperate deciduous forest derived from a large forest dynamics plot. Ecosphere, 7(12). doi:10.1002/ecs2.1595",0,rejected 5-yr delta.agb,
Classified otherwise (OTH),3,n_3_Gonzalez-Akre_2016_potm,20210915,"Gonzalez-Akre, E., Meakem, V., Eng, C., Tepley, A. J., Bourg, N. A., McShea, W., ... Anderson-Teixeira, K. (2016). Patterns of tree mortality in a temperate deciduous forest derived from a large forest dynamics plot. Ecosphere, 7(12). doi:10.1002/ecs2.1595",1,"accepted mortality over 5-yr, rejected 2 1-yr periods",
Above-ground biomass [AGB] (AGB),1,n_1_Lin_2012_tvia,20210401,"Lin, D., Lai, J., Muller-Landau, H. C., Mi, X., & Ma, K. (2012). Topographic Variation in Aboveground Biomass in a Subtropical Evergreen Broad-Leaved Forest in China. PLoS ONE, 7(10), e48244. doi:10.1371/journal.pone.0048244",1,,
Above-ground biomass [AGB] (AGB),1,n_15_Ngo_2013_csip,20210401,"Ngo, K. M., Turner, B. L., Muller-Landau, H. C., Davies, S. J., Larjavaara, M., Nik Hassan, N. F. bin, & Lum, S. (2013). Carbon stocks in primary and secondary tropical forests in Singapore. Forest Ecology and Management, 296, 81-89. doi:10.1016/j.foreco.2013.02.004",2,"not sure where the other comes from- not in original submission, and incorrectly lists variable as fine root biomass in description. Perhaps added by EFDB",
Below-ground biomass [BGB] (BGB),2,n_15_Ngo_2013_csip,20210401,"Ngo, K. M., Turner, B. L., Muller-Landau, H. C., Davies, S. J., Larjavaara, M., Nik Hassan, N. F. bin, & Lum, S. (2013). Carbon stocks in primary and secondary tropical forests in Singapore. Forest Ecology and Management, 296, 81-89. doi:10.1016/j.foreco.2013.02.004",0,,
Classified otherwise (OTH),8,n_15_Ngo_2013_csip,20210401,"Ngo, K. M., Turner, B. L., Muller-Landau, H. C., Davies, S. J., Larjavaara, M., Nik Hassan, N. F. bin, & Lum, S. (2013). Carbon stocks in primary and secondary tropical forests in Singapore. Forest Ecology and Management, 296, 81-89. doi:10.1016/j.foreco.2013.02.004",4,"dead wood standing and fallen. 3 of these re-classified as dead wood, 1 as litter ",
Dead wood [DW] (DWD),2,n_15_Ngo_2013_csip,20210401,"Ngo, K. M., Turner, B. L., Muller-Landau, H. C., Davies, S. J., Larjavaara, M., Nik Hassan, N. F. bin, & Lum, S. (2013). Carbon stocks in primary and secondary tropical forests in Singapore. Forest Ecology and Management, 296, 81-89. doi:10.1016/j.foreco.2013.02.004",0,,sum of standing and fallen dead wood
Soil organic matter - mineral soils [SOM mineral] (OMM),2,n_15_Ngo_2013_csip,20210401,"Ngo, K. M., Turner, B. L., Muller-Landau, H. C., Davies, S. J., Larjavaara, M., Nik Hassan, N. F. bin, & Lum, S. (2013). Carbon stocks in primary and secondary tropical forests in Singapore. Forest Ecology and Management, 296, 81-89. doi:10.1016/j.foreco.2013.02.004",0,,SOM
Above-ground biomass [AGB] (AGB),12,n_18_Meakem_2018_rots,20210401,"Meakem, V., Tepley, A. J., Gonzalez-Akre, E. B., Herrmann, V., Muller-Landau, H. C., Wright, S. J., ... Anderson-Teixeira, K. J. (2017). Role of tree size in moist tropical forest carbon cycling and water deficit responses. New Phytologist, 219(3), 947-958. doi:10.1111/nph.14633",12+,"total of 39 submitted, 41 records from this pub in EFDB",
Classified otherwise (OTH),6,n_18_Meakem_2018_rots,20210401,"Meakem, V., Tepley, A. J., Gonzalez-Akre, E. B., Herrmann, V., Muller-Landau, H. C., Wright, S. J., ... Anderson-Teixeira, K. J. (2017). Role of tree size in moist tropical forest carbon cycling and water deficit responses. New Phytologist, 219(3), 947-958. doi:10.1111/nph.14633",6+,"total of 39 submitted, 41 records from this pub in EFDB",
Above-ground biomass [AGB] (AGB),2,n_21_Meakem_2018_rots,20210915,"Meakem, V., Tepley, A. J., Gonzalez-Akre, E. B., Herrmann, V., Muller-Landau, H. C., Wright, S. J., ... Anderson-Teixeira, K. J. (2017). Role of tree size in moist tropical forest carbon cycling and water deficit responses. New Phytologist, 219(3), 947-958. doi:10.1111/nph.14633",2+,"total of 39 submitted, 41 records from this pub in EFDB",
Classified otherwise (OTH),19,n_21_Meakem_2018_rots,20210915,"Meakem, V., Tepley, A. J., Gonzalez-Akre, E. B., Herrmann, V., Muller-Landau, H. C., Wright, S. J., ... Anderson-Teixeira, K. J. (2017). Role of tree size in moist tropical forest carbon cycling and water deficit responses. New Phytologist, 219(3), 947-958. doi:10.1111/nph.14633",19+,"total of 39 submitted, 41 records from this pub in EFDB",
Classified otherwise (OTH),5,n_5_Archibald_2009_doiv,20210401,"Archibald, S. A., Kirton, A., van der Merwe, M. R., Scholes, R. J., Williams, C. A., & Hanan, N. (2009). Drivers of inter-annual variability in Net Ecosystem Exchange in a semi-arid savanna ecosystem, South Africa. Biogeosciences, 6(2), 251-266. doi:10.5194/bg-6-251-2009",0,,NEE
Above-ground biomass [AGB] (AGB),1,n_5_Wieser_2005_necd,20210915,"Wieser, G.; Stohr, D. (2005) Net Ecosystem Carbon Dioxide Exchange Dynamics in a Pinus cembra Forest at the Upper Timberline in the Central Austrian Alps (233-242)",0,,all from this study
Below-ground biomass [BGB] (BGB),2,n_5_Wieser_2005_necd,20210915,"Wieser, G.; Stohr, D. (2005) Net Ecosystem Carbon Dioxide Exchange Dynamics in a Pinus cembra Forest at the Upper Timberline in the Central Austrian Alps (233-242)",0,,all from this study
Classified otherwise (OTH),2,n_5_Wieser_2005_necd,20210915,"Wieser, G.; Stohr, D. (2005) Net Ecosystem Carbon Dioxide Exchange Dynamics in a Pinus cembra Forest at the Upper Timberline in the Central Austrian Alps (233-242)",0,,all from this study
Above-ground biomass [AGB] (AGB),1,n_16_Chave_2008_aepa,20210915,"Chave, J., Condit, R., Muller-Landau, H. C., Thomas, S. C., Ashton, P. S., Bunyavejchewin, S., ... Losos, E. C. (2008). Assessing Evidence for a Pervasive Alteration in Tropical Tree Communities. PLoS Biology, 6(3), e45. doi:10.1371/journal.pbio.0060045",1+,"EFDB has 71 total from this pub, some apparently added by them",
Classified otherwise (OTH),15,n_16_Chave_2008_aepa,20210915,"Chave, J., Condit, R., Muller-Landau, H. C., Thomas, S. C., Ashton, P. S., Bunyavejchewin, S., ... Losos, E. C. (2008). Assessing Evidence for a Pervasive Alteration in Tropical Tree Communities. PLoS Biology, 6(3), e45. doi:10.1371/journal.pbio.0060045",15+,"EFDB has 71 total from this pub, some apparently added by them",
Classified otherwise (OTH),2,n_2_Chave_2008_aepa,20211012,"Chave, J., Condit, R., Muller-Landau, H. C., Thomas, S. C., Ashton, P. S., Bunyavejchewin, S., ... Losos, E. C. (2008). Assessing Evidence for a Pervasive Alteration in Tropical Tree Communities. PLoS Biology, 6(3), e45. doi:10.1371/journal.pbio.0060045",2+,"EFDB has 71 total from this pub, some apparently added by them",
