"citation.ID","n_potential_records","n_variables","variables_represented","sites_represented","n_pot_dup_sites","forestGEO_sites","GROA_study","tropical","prioritized_variable","review_priority_score","ready_to_rerun_and_send","notes"
"Guo_2014_part",5928,2,"biomass_ag, biomass_root",1490,690,0,5928,3974,5928,11894,NA,""
"Helcoski_2019_gsmd",2,1,"ANPP_woody_stem",1,0,1000,0,0,0,1002,NA,NA
"Chave_2003_satv",1,1,"ANPP_woody_stem",1,1,1000,0,1,0,992,NA,NA
"Foster_1982_fobc",3,2,"ANPP_woody_stem, ANPP_litterfall_1",2,3,1000,0,3,0,976,NA,NA
"Johnson_2018_csss",28,2,"biomass_ag, woody.mortality_ag",14,14,1000,0,28,14,930,NA,""
"Poorter_2015_decs",58,1,"biomass_ag",58,30,1000,0,58,58,874,NA,""
"Poorter_2016_bron",244,1,"biomass_ag",7,0,0,244,244,244,854,NA,"synthesis of many studies"
"Malhi_2011_taoe",141,5,"NPP_woody, ANPP_litterfall_1, ANPP_woody_stem, BNPP_root_fine, ANPP_woody",62,82,1000,0,141,0,462,NA,NA
"Orihuela-Belmonte_2013_csaa",101,7,"biomass_ag, deadwood, soil, biomass, biomass_ag_understory, biomass_root, deadwood_standing",1,0,0,76,101,84,324,NA,""
"Lewis_2009_icsi",79,1,"biomass_ag",79,0,0,0,79,79,237,NA,"rainfor"
"Lukac_2003_ptam",91,3,"biomass_root, BNPP_root, BNPP_root_fine",1,0,0,0,91,55,237,NA,"root study - lower priority"
"Yang_2007_srac",85,8,"BNPP_root_coarse, BNPP_root_fine, BNPP_root, ANPP_litterfall_1, ANPP_woody_stem, R_het_litter, biomass_ag, biomass_root_fine",5,1,0,0,85,3,163,NA,""
"Krankina_1999_nbfs",98,6,"biomass_ag_foliage, biomass_ag_woody, biomass_ag, biomass, biomass_root, ANPP_woody",15,0,0,19,0,46,153.5,NA,"duplicates"
"Gilroy_2014_ccab",53,1,"total.ecosystem_2",1,0,0,53,53,0,132.5,NA,""
"Maier_2004_rcua",60,11,"ANPP_woody_stem, ANPP_woody_branch, ANPP_woody, BNPP_root_coarse, BNPP_root_fine, BNPP_root, biomass, biomass_ag, biomass_root, biomass_root_coarse, biomass_root_fine",6,0,0,0,60,8,128,NA,"duplicates"
"Mekuria_2011_roec",36,2,"biomass_ag, biomass_ag_understory",1,0,0,36,36,24,114,NA,""
