EFDB order,EFDB table,EFDB field,mandatory.field,EFDB Description,-,ForC order,ForC table,ForC Column,ForC field,ForC Description,ForC Storage.Type,ForC Variable.Codes,ForC Units,-,EFDB_sub_entry,-,Value to assign when ForC has data,Value to assign when ForC has missing value,manual.review.needed,notes,action needed,For_modificaition needed,changed
1,Data,EF ID,0,,-,,,,,,,,,-,NA,-,(leave blank),,,,,,
2,Data,"1996 Source/Sink Categories (CODE1,...)",1,,-,,,,,,,,,-,NA,-,see https://github.com/forc-db/IPCC_database_integration/blob/master/doc/database_mapping/defining_land_subcategory.md,,,"Regarding "" 1996 source/sink categories... "", I would say that it is needed to find the matching category for the selected one from the 2006 IPCC GL to the Revised 1996 GL. I guess the majority of values will fit 5-FL-1 Forest land remaining forest land and or 5-FL-2 Land converted to forest land.",,,
3,Data,"2006 Source/Sink Categories (CODE1,...)",1,,-,,,,,,,,,-,NA,-,see https://github.com/forc-db/IPCC_database_integration/blob/master/doc/database_mapping/defining_land_subcategory.md,,,"The cell ""2006 source/sink categories..."" requires to select from the drop-down menu the certain category(-ies) where the EF is going to be used. The list of all source/sink categories with their definitions is contained in the Table 8.2, ch. 2, Vol. 1 of the 2006 IPCC Guidelines. Probably, the majority of values you will provide will fit in the 3.B.1.a Forest land remaining forest land and/or 3.B.1.b Land converted to forest land.",,,
4,Data,"Gases (ID1,ID2,...)",1,,-,-,-,-,-,-,-,-,-,-,NA,-,"for units in organic matter: CARBON DIOXIDE (006),CARBON MONOXIDE (005),METHANE (004),NITROGEN OXIDES (NO+NO2) (002),NITROUS OXIDE (007); for units in C: CARBON DIOXIDE (006)",NA,,,,,30-Mar
5,Data,Fuel 1996 (ID),0,,-,-,-,-,-,-,-,-,-,-,NA,-,(leave blank),NA,,,,,
6,Data,Fuel 2006 (ID),0,,-,-,-,-,-,-,-,-,-,-,NA,-,(leave blank),NA,,,,,
7,Data,C pool,0,,-,9,measurements,9 / I,variable.name,Code name for variable sampled. ,character (string),Given in VARIABLES table,-,-,NA,-,(Depends on ForC variable. See ForC_variables_mapping.csv),NA,,,,,
8,Data,Description,1,,-,9,measurements,9 / I,variable.name,Code name for variable sampled. ,character (string),Given in VARIABLES table,-,-,NA,-,(Depends on ForC variable. Use `description` in ForC_variables_mapping.csv),NA,,,,,30-Mar
9,Data,Technologies/Practices,0,land subcategory/ subdivision,-,,,,,,,,,-,,-,see https://github.com/forc-db/IPCC_database_integration/blob/master/doc/database_mapping/defining_land_subcategory.md,(leave blank),,from Valentyna: If no information is available on land subcategory/subdivision please leave it blank.,,would be good to add this field to ForC: https://github.com/forc-db/ForC/issues/222,
10,Data,Abatement/Control technologies,0,management type & intensity,-,,in script,,hist.cat,,,,,,Management,,"list all management events and say ""see ForC record or original publication for more detailed management history""",(leave blank),,If no information is available please leave it blank.,issue #16,,30-Mar
