variable.ID,variable.type,variable.name,units,description,extended.description,equations,requires.allometry,requires.min.dbh,requires.depth,associated.covariate_1,associated.covariate_2,provide.to.IPCC,IPCC.C_pool,IPCC.Unit_(ID),Type of Parameter (ID),Equation,Equation_questioned,IPCC Worksheet Number,IPCC.notes,review.notes
1,flux,NEE_C,Mg C ha-1 yr-1,Net Ecosystem Exchange (NEE),"Annual net exchange of CO2 between the ecosystem and atmosphere, commonly measured using eddy-covariance. Sign convention: negative indicates C uptake.",* NEE_C = -NEP_C = R_eco_C - GPP_C,0,0,0,u.star ,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),Equation 2.3,,,Equation 2.3 (although include some heterotrofic),"Consistency checks--mostly. Most of the time, ecologists assume -NEE (net CO2 exchange between ecosystem and atmosphere) =NEP (GPP-Reco)= _C (change in total carbon stock. In reality, there are some ways  in which these can differ. For example, fire and ultraviolet oxidation of organic matter release CO2 without any biological role (NEP not equal), carbon can leave the site as dissolved inorganic carbon (NEE not equal). Harvest would not technically be included in either definition (but generally wouldn't occur concurrently with the measurements recorded in ForC. I think it's reasonable to treat bouth NEE and GPP as equivalent to ÆC in most cases that will be encountered in ForC."
2,flux,NEE_cum_C,Mg C ha-1 (timestep)-1,NA,NA,NEE_cum_C =  R_eco_cum_C - GPP_cum_C,0,0,0,u.star ,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
3,flux,NEP_C,Mg C ha-1 yr-1,Net Ecosystem Production (NEP),Annual net ecosystem production estimated biometrically / from ground-based measurements. Sign convention: positive indicates C uptake.,NEP_C = GPP_C - R_eco_C,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),Equation 2.3,,,,"Consistency checks--mostly. Most of the time, ecologists assume -NEE (net CO2 exchange between ecosystem and atmosphere) =NEP (GPP-Reco)= _C (change in total carbon stock. In reality, there are some ways  in which these can differ. For example, fire and ultraviolet oxidation of organic matter release CO2 without any biological role (NEP not equal), carbon can leave the site as dissolved inorganic carbon (NEE not equal). Harvest would not technically be included in either definition (but generally wouldn't occur concurrently with the measurements recorded in ForC. I think it's reasonable to treat bouth NEE and GPP as equivalent to ÆC in most cases that will be encountered in ForC."
4,flux,GPP_C,Mg C ha-1 yr-1,Gross Primary Production (GPP),"Annual Gross Primary Production (GPP), commonly estimated through flux partitioning of eddy covariance. Also known as ""Gross Ecosystem Production"".",(1)* GPP_C = R_eco_C - NEE_C; (2)** GPP_C = NPP_5_C + R_auto_C,0,0,0,u.star ,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,, alone it doesn't suffice for inventories and may be wrongly used,
5,flux,GPP_cum_C,Mg C ha-1 (timestep)-1,NA,NA,NEE_cum_C =  R_eco_cum_C - GPP_cum_C,0,0,0,u.star ,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
6,flux,TBCF_C,Mg C ha-1 yr-1,Total Belowground Carbon Flux (TBCF),"Annual Total belowground C flux (through roots), including carbon that will go to root production and root-associated respiration.",TBCF_C = GPP_C - ANPP_2_C* - R_auto_ag_C,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,*Equation 2.8,"I'm confused as to (1) how this applies to equation 2.8, and (2) If this is really useful. It gives total C allocation belowground through the roots, but does not distinguish what goes into root productivity vs C that is quickly respired ( root respiration or exudates). This could be used, together with other terms, to get a belowground C balance, but you'd also need other variables (including soil respiratin variables) to partition into what goes into ÆC_root vs ÆSOC vs root turnover/ respiration. The majority of this will be rapidly cycling carbon that I don't think is relevant."
7,flux,NPP_1_OM,Mg ha-1 yr-1,Net Primary Production (NPP),"Annual Net Primary Production (NPP), including foliage, branch, stem, coarse root, and fine root. ",NPP_1_OM = ANPP_foliage_OM + (ANPP_woody_stem_OM + ANPP_woody_branch_OM) + BNPP_coarse root_OM + BNPP_fine root_OM,1,1,1,include.recruitment,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,,
8,flux,NPP_1_C,Mg C ha-1 yr-1,Net Primary Production (NPP),"Annual Net Primary Production (NPP), including foliage, branch, stem, coarse root, and fine root. ",NPP_1_C = ANPP_foliage_C + (ANPP_woody_stem_C + ANPP_woody_branch_C) + BNPP_coarse root_C + BNPP_fine root_C,1,1,1,include.recruitment,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
9,flux,NPP_2_OM,Mg ha-1 yr-1,Net Primary Production (NPP),"Annual Net Primary Production (NPP), including foliage, branch, stem, coarse root, fine root, and understory.  ",NPP_2_OM = NPP_1_OM + NPP_understory_OM,1,1,1,include.recruitment,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,,
10,flux,NPP_2_C,Mg C ha-1 yr-1,Net Primary Production (NPP),"Annual Net Primary Production (NPP), including foliage, branch, stem, coarse root, fine root, and understory.  ",NPP_2_C = NPP_1_C + NPP_understory_C,1,1,1,include.recruitment,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
